,start,end,length,delta_x,delta_y,angle,interval
0,335,649,314,-9.969253249201088,-9.23369739549112,42.80639687693915,335
1,683,743,60,-4.5439006476233885,-0.41141402643120273,5.173570034190315,34
2,1346,2858,1512,-9.894563420387883,6.4196629551962445,-32.97579328755135,603
3,2898,5147,2249,-9.146388380584654,1.7827443465175605,-11.029372683589264,40
4,5278,7994,2716,-9.820616452834201,1.3671631691594968,-7.925413225345141,131
5,8076,9914,1838,-9.645594652060595,2.907665495472898,-16.775438317521544,82
6,9967,12193,2226,-9.960912857957098,1.1323812410775673,-6.485682064518275,53
7,12261,14384,2123,-7.069343917655345,1.7503327210701656,-13.906468226690476,68
8,19160,21309,2149,-5.967125234360864,0.719358973741663,-6.874045195446848,4776
9,23746,25257,1511,-2.55244103147416,2.4015428717473952,-43.25531219882693,2437
10,45927,47017,1090,-6.789635106955757,0.995067448875119,-8.337731251198628,20670
11,52561,53229,668,-5.204080138800876,3.8482260258386987,-36.481564370277574,5544
12,63449,66552,3103,-7.319334990873216,0.6643801617930905,-5.186556833000837,10220
13,71439,73376,1937,-3.6199686504115505,-3.1363378387456464,40.90562969988337,4887
14,75691,77457,1766,-5.652253706879861,5.281472538646483,-43.05774741646789,2315
15,82702,86947,4245,-8.960233501022444,-2.6669577053717575,16.575309130116104,5245
16,98909,99056,147,-4.229478478765543,-1.9709268337700507,24.98540633606109,11962
17,105666,109033,3367,-7.84368721742031,-2.833855719869206,19.86434544230455,6610
18,112749,113145,396,-1.7871836208241376,-4.698727731911461,69.1754478622527,3716
19,115683,116082,399,-2.99439195732856,-1.3482272845591865,24.23969269086619,2538
20,122588,126789,4201,-11.962917630943565,-2.853945186863953,13.418019683380617,6506
21,127009,128504,1495,-7.495065945003375,-1.608055992878704,12.109157913127305,220
22,128698,131113,2415,-6.8807390208601475,-2.428633170623641,19.441049590782175,194
23,138092,143449,5357,-10.765085199929672,0.2628408734722143,-1.3986588074443835,6979
24,153451,155212,1761,-4.369469639293655,-2.42679604455536,29.04771892923257,10002
25,160794,163649,2855,-7.912642362867956,-0.48263468518723585,3.490453874506802,5582
26,168764,171358,2594,-7.106884732322442,1.1416492906982398,-9.126022056391978,5115
27,176252,179944,3692,-10.133279401029597,0.7835166308535975,-4.421377362931276,4894
28,180092,184866,4774,-8.697838982464319,-1.6810095217956018,10.938548831937993,148
29,184963,185552,589,-6.344718645619523,-0.12424757271242015,1.121870352364128,97
30,192409,194310,1901,-2.5850194064933163,0.5835993886044548,-12.721937340194692,6857
31,194408,196058,1650,-3.4091887924485604,-3.8129071473771603,48.19952947665866,98
32,198362,205135,6773,-6.539035747674433,-5.349666069768205,39.28702346119566,2304
