,start,end,length,delta_x,delta_y,angle,interval
0,145,258,113,-8.159475585673292,-3.30296879501185,22.038181258044972,145
1,425,554,129,-4.899624063844897,-1.0927828591177047,12.573123926244847,167
2,783,977,194,-7.5154364894049905,-2.9163635070168397,21.208732276860765,229
3,2780,4425,1645,-8.9577882455049,-16.442403457608393,61.41854073453358,1803
4,4473,6080,1607,-6.620410059648165,-3.5735773667628052,28.359369394783876,48
5,6141,7226,1085,-6.30050911955685,-3.4529923575973243,28.724932760676698,61
6,9673,11917,2244,-7.373240881429325,-9.529762237434511,52.270639544355916,2447
7,11976,14585,2609,-8.508635067467665,-5.7699299521961365,34.142231334996794,59
8,14650,19182,4532,-8.215386120629276,-6.765778579794514,39.47315169474502,65
9,28635,31854,3219,-7.513147004987289,-2.6580805603991564,19.483299175287254,9453
10,32645,37936,5291,-4.8295073795889465,-16.064363078837104,73.26739076666327,791
11,39797,41702,1905,-4.421762991822646,-9.280400888290018,64.52395147331137,1861
12,42071,48507,6436,-7.926902586894613,-12.711238325500915,58.05176924161366,369
13,52410,53376,966,1.8354618813046955,-6.641444484918992,-74.5510715176687,3903
14,53424,53721,297,0.8531075812032469,-3.622221750415136,-76.74718883474499,48
15,54441,55203,762,-2.5729373306695607,-4.647760885905882,61.03168169191148,720
16,55234,55450,216,4.796274430908255,-4.179252579918071,-41.067393645627156,31
17,55483,55600,117,-4.672133000869053,-1.3249040310653584,15.832055094385286,33
18,55631,61203,5572,-8.989053683609214,-10.23865003186502,48.718387472843624,31
19,61325,62806,1481,-0.11380562004869432,-10.776039241836102,89.39492246080835,122
20,62864,71378,8514,-4.28763917031857,-15.00190809421396,74.0497324598058,58
21,71604,74298,2694,-5.461358034023604,-11.927127434338175,65.39724890454565,226
22,80255,81520,1265,-5.558278662882103,-5.061663464620935,42.32265568565923,5957
23,81612,83286,1674,-4.434836198308318,-9.177983751352116,64.20999222066814,92
24,83701,86399,2698,-6.02234345285153,-7.696498512138476,51.95758932259216,415
25,86864,88368,1504,-6.29651018274356,-5.5913316008570035,41.605231930970575,465
26,88461,89651,1190,-3.240524355155955,-7.675946957931885,67.11217894668506,93
27,89755,91442,1687,-1.7004868219608937,-8.201447262277696,78.28627661232066,104
28,91619,95995,4376,-2.430504555366653,-12.935365403973478,79.35842287619589,177
29,96162,97727,1565,-0.297189684286451,-6.0448994380660395,87.18539314032355,167
30,97860,100285,2425,-2.7651373447476146,-7.532666031687725,69.8425133820476,133
31,100413,102139,1726,-2.55904655026805,-8.460594209822801,73.17119109082934,128
32,102228,104708,2480,-2.8395454035601944,-9.42585889457007,73.2350420654089,89
33,104841,106529,1688,-3.887024708455243,-6.810381004913353,60.28443785223719,133
34,106661,107979,1318,-3.7759839716379417,-6.041341173847641,57.99362288140469,132
35,108106,109728,1622,-6.694989494034701,-5.587060068749622,39.845458788982654,127
36,109865,110738,873,-3.1739627601037768,-5.120707976646116,58.208169247604836,137
37,110862,114147,3285,-4.208915689785783,-9.132920542720015,65.25733889243253,124
38,114277,119013,4736,-4.730009263664414,-9.305666404919322,63.05606759843176,130
39,119163,120998,1835,-1.7794791037462119,-5.460682265454977,71.95070237225731,150
40,121083,124496,3413,-4.79507121572334,-10.417463484638205,65.28378045102693,85
41,124709,127138,2429,-0.34709749662860645,-7.362714292821991,87.30092628312524,213
42,127272,128826,1554,-0.6030250312722529,-6.449874163074526,84.65871085970294,134
43,128962,129930,968,-0.5347570383856635,-6.0389486453345995,84.93958081335755,136
44,130029,133306,3277,0.98418247384339,-9.291672478765548,-83.95372275864153,99
45,133392,134755,1363,-4.8440963012094045,-4.750306067348248,44.43992203068478,86
46,134860,136438,1578,-2.9225035603722205,-5.679464565005631,62.770837230529736,105
47,136613,138391,1778,-2.928887521445276,-5.260977582270172,60.89447124653853,175
48,138509,140660,2151,-4.017510472271411,-8.572830595699642,64.89066600049725,118
49,141101,143178,2077,-0.3522238731923437,-7.081425673739915,87.15250508129465,441
